EventNumber Product1_Name Product1_isBoson Product1_mass Product1_px Product1_py Product1_pz Product1_E Product1_pT Product2_Name Product2_isBoson Product2_mass Product2_px Product2_py Product2_pz Product2_E Product2_pT
1 b 0 4.18 67.45 -1.76 -0.79 67.6069 67.473 b 0 4.18 3.55 -42.24 -78.21 89.0567 42.3889
2 b 0 4.18 48.76 0.84 -1.8 48.9791 48.7672 b 0 4.18 4.24 13.16 -88.2 89.3749 13.8262
3 b 0 4.18 -4.62 20.3 32.83 39.0988 20.8191 b 0 4.18 -16.38 49.7 34.17 62.6375 52.3297
4 b 0 4.18 18.72 0.55 2.25 19.3203 18.7281 b 0 4.18 59.28 54.45 0.75 80.6037 80.4917
5 W+ 1 80.4 23.14 -5.04 0.84 83.8196 23.6825 W- 1 80.4 2.86 -50.96 41.16 103.747 51.0402
6 b 0 4.18 8.8 -11.48 -41.08 43.7524 14.4648 b 0 4.18 35.2 -29.52 -37.92 59.7149 45.9399
7 W+ 1 80.4 16.2 31.68 9.02 88.3832 35.5818 W- 1 80.4 19.8 40.32 72.98 117.507 44.9193
8 b 0 4.18 -57.6 -0.5 1.92 57.7855 57.6022 b 0 4.18 -2.4 -24.5 94.08 97.3372 24.6173
9 b 0 4.18 -7.04 4.25 -38.76 39.8426 8.22339 b 0 4.18 -14.96 20.75 -37.24 45.3724 25.5805
10 W+ 1 80.4 23.8 27.93 10.12 88.9556 36.695 W- 1 80.4 61.2 29.07 33.88 110.465 67.7533
11 tau+ 0 1.77 -3.36 -4.06 -25.08 25.6888 5.27003 tau- 0 1.77 -4.64 -24.94 -31.92 40.8112 25.368
12 b 0 4.18 9.6 -45.5 4.35 46.8914 46.5017 b 0 4.18 22.4 -24.5 82.65 89.1656 33.1965
13 W+ 1 80.4 32.4 0.84 -6.15 86.9048 32.4109 W- 1 80.4 7.6 20.16 -34.85 90.2378 21.545
14 b 0 4.18 -42.75 1.4 12.71 44.8167 42.7729 b 0 4.18 -52.25 8.6 18.29 56.1785 52.953
15 W+ 1 80.4 -11.16 3.24 -9.52 81.7914 11.6208 W- 1 80.4 -6.84 77.76 -18.48 113.574 78.0603
16 tau+ 0 1.77 -63.9 0.65 -12.32 65.1041 63.9033 tau- 0 1.77 -26.1 4.35 -64.68 69.9054 26.46
17 b 0 4.18 -22.4 0.52 3.76 23.1007 22.406 b 0 4.18 -9.6 1.48 90.24 90.8575 9.71341
18 b 0 4.18 -30 -11.7 19.2 37.7227 32.2008 b 0 4.18 -30 -27.3 76.8 86.954 40.5622
19 b 0 4.18 5.34 0.54 0.78 6.84748 5.36723 b 0 4.18 0.66 5.46 38.22 38.8393 5.49975
20 b 0 4.18 1.96 6.38 3.74 8.71814 6.67428 b 0 4.18 2.04 15.62 13.26 21.0106 15.7527
21 b 0 4.18 9.88 2.32 -14.11 17.8763 10.1487 b 0 4.18 66.12 55.68 -2.89 86.5907 86.4414
22 W+ 1 80.4 14.24 -1.2 0.35 81.6609 14.2905 W- 1 80.4 1.76 -18.8 6.65 82.8548 18.8822
23 b 0 4.18 -3.3 -3.6 -28.91 29.6161 4.88365 b 0 4.18 -6.7 -16.4 -30.09 35.1672 17.7158
24 b 0 4.18 -26.4 1.8 -17.82 32.1749 26.4613 b 0 4.18 -6.6 88.2 -81.18 120.127 88.4466
25 b 0 4.18 -7.56 -12.64 4.48 15.952 14.7283 b 0 4.18 -46.44 -3.36 59.52 75.684 46.5614
26 b 0 4.18 -6.58 1.64 -1.54 8.11357 6.7813 b 0 4.18 -0.42 39.36 -75.46 85.2119 39.3622
27 b 0 4.18 7.92 42.09 -2.31 43.0941 42.8287 b 0 4.18 25.08 18.91 -30.69 44.1128 31.4101
28 b 0 4.18 38.69 1.82 29.04 48.5904 38.7328 b 0 4.18 34.31 11.18 58.96 69.2526 36.0856
29 b 0 4.18 7.47 10.65 0.2 13.6651 13.0086 b 0 4.18 1.53 60.35 9.8 61.3023 60.3694
30 W+ 1 80.4 3.72 1.45 -0.44 80.5003 3.99261 W- 1 80.4 0.28 27.55 -21.56 87.6817 27.5514
31 b 0 4.18 -10.72 2.66 -17.68 21.2614 11.0451 b 0 4.18 -5.28 35.34 -50.32 61.8577 35.7323
32 b 0 4.18 -5.88 0.52 -0.62 7.25959 5.90295 b 0 4.18 -0.12 51.48 -61.38 80.2196 51.4801
33 b 0 4.18 -29.64 -2.4 14.58 33.3817 29.737 b 0 4.18 -48.36 -27.6 12.42 57.203 55.6817
34 b 0 4.18 -40.3 -0.3 -7.76 41.2537 40.3011 b 0 4.18 -24.7 -0.7 -89.24 92.6921 24.7099
35 b 0 4.18 14.82 -21.58 23.76 35.5997 26.1788 b 0 4.18 24.18 -61.42 42.24 78.4779 66.0082
36 b 0 4.18 2.4 14.52 1.96 15.4242 14.717 b 0 4.18 5.6 7.48 47.04 48.1409 9.344
37 b 0 4.18 63.7 -0.72 1.14 63.8512 63.7041 b 0 4.18 6.3 -23.28 17.86 30.3002 24.1174
38 W+ 1 80.4 -60.83 11.52 -0.39 101.476 61.9112 W- 1 80.4 -16.17 52.48 -12.61 98.1773 54.9147
39 Z 1 91.2 4.08 6.5 28.5 95.8571 7.6744 Z 1 91.2 29.92 6.5 46.5 106.851 30.6179
40 W+ 1 80.4 17.94 6.5 9.72 83.203 19.0812 W- 1 80.4 8.06 43.5 44.28 101.893 44.2404
41 W+ 1 80.4 0.88 -25.92 -14.28 85.6779 25.9349 W- 1 80.4 3.12 -46.08 -19.72 94.7952 46.1855
42 b 0 4.18 -43.2 -3.04 1.84 43.547 43.3068 b 0 4.18 -36.8 -4.96 21.16 42.9425 37.1328
43 W+ 1 80.4 2.48 -36.72 -12.78 89.342 36.8037 W- 1 80.4 5.52 -35.28 -58.22 105.493 35.7092
44 W+ 1 80.4 -44.08 -5.88 25.55 95.3655 44.4704 W- 1 80.4 -31.92 -78.12 47.45 125.846 84.3897
45 b 0 4.18 -9.84 1.44 4.9 11.8483 9.94481 b 0 4.18 -2.16 34.56 30.1 46.0711 34.6274
46 b 0 4.18 35.49 -0.6 -0.85 35.7505 35.4951 b 0 4.18 3.51 -14.4 -16.15 22.3154 14.8216
47 Z 1 91.2 -2.88 4.4 -27.03 95.2665 5.25875 Z 1 91.2 -93.12 5.6 -23.97 132.645 93.2882
48 b 0 4.18 4.95 -5.92 -13.14 15.8013 7.71679 b 0 4.18 40.05 -31.08 -4.86 51.0985 50.6949
49 W+ 1 80.4 75.69 -4.62 1.98 110.537 75.8309 W- 1 80.4 11.31 -61.38 31.02 106.404 62.4133
50 W+ 1 80.4 -0.66 -54.76 -0.88 97.2832 54.764 W- 1 80.4 -2.34 -19.24 -21.12 85.3573 19.3818
51 b 0 4.18 -13.42 3 23.32 27.3933 13.7512 b 0 4.18 -47.58 9 20.68 52.8204 48.4237
52 b 0 4.18 -12.39 -19.24 -7.65 24.4885 22.8843 b 0 4.18 -8.61 -54.76 -43.35 70.4946 55.4328
53 W+ 1 80.4 10.54 -59.17 -2.72 100.418 60.1014 W- 1 80.4 23.46 -37.83 -31.28 97.0777 44.5138
54 tau+ 0 1.77 10.23 -5.58 -18.87 22.2486 11.6529 tau- 0 1.77 22.77 -25.42 -18.13 38.6844 34.127
55 b 0 4.18 -11.04 9.18 -38.88 41.6567 14.3581 b 0 4.18 -80.96 17.82 -33.12 89.3671 82.898
56 b 0 4.18 -0.5 18 5.46 19.2752 18.0069 b 0 4.18 -1.5 32 8.54 33.4164 32.0351
57 b 0 4.18 68.85 0.28 1.04 68.9852 68.8506 b 0 4.18 12.15 3.72 11.96 17.9437 12.7067
58 b 0 4.18 34.4 -16.82 0.54 38.5232 38.2919 b 0 4.18 51.6 -12.18 26.46 59.4013 53.018
59 W+ 1 80.4 -8.17 2.16 -10.08 81.4689 8.45071 W- 1 80.4 -10.83 21.84 -10.92 84.7212 24.3777
60 b 0 4.18 19.78 0.63 31.68 37.5864 19.79 b 0 4.18 26.22 2.37 56.32 62.3099 26.3269
61 b 0 4.18 66.88 -3.6 -5.94 67.3695 66.9768 b 0 4.18 9.12 -56.4 -93.06 109.278 57.1326
62 b 0 4.18 1.16 24.15 -11.59 27.1361 24.1778 b 0 4.18 27.84 44.85 -7.41 53.4693 52.7881
63 b 0 4.18 62.7 -0.44 -0.11 62.8408 62.7015 b 0 4.18 3.3 -10.56 -10.89 16.0769 11.0636
64 b 0 4.18 2.19 3 -10.81 12.1706 3.71431 b 0 4.18 0.81 72 -36.19 80.696 72.0046
65 b 0 4.18 -8.82 0.71 -0.02 9.78618 8.84853 b 0 4.18 -0.18 70.29 -1.98 70.4422 70.2902
66 tau+ 0 1.77 -12.24 -15.75 -7.37 21.3385 19.9469 tau- 0 1.77 -5.76 -59.25 -59.63 84.277 59.5293
67 b 0 4.18 -81.84 3.88 1.23 82.0477 81.9319 b 0 4.18 -6.16 93.12 39.77 101.53 93.3235
68 b 0 4.18 -19.08 5.8 12.58 23.9461 19.9421 b 0 4.18 -16.92 52.2 21.42 59.0543 54.8737
69 b 0 4.18 -17.1 0.55 5.04 18.319 17.1088 b 0 4.18 -1.9 54.45 50.96 74.7182 54.4831
70 b 0 4.18 -11.52 7.04 7.14 15.8343 13.5008 b 0 4.18 -6.48 24.96 43.86 51.0506 25.7874
71 b 0 4.18 24.09 9.7 -42.18 49.7096 25.9696 b 0 4.18 48.91 87.3 -31.82 105.088 100.067
72 b 0 4.18 12.9 25.92 28.5 40.8409 28.9527 b 0 4.18 17.1 70.08 66.5 98.2005 72.1361
73 b 0 4.18 -18.6 1.8 -0.3 19.151 18.6869 b 0 4.18 -12.4 4.2 -2.7 14.0058 13.092
74 Z 1 91.2 28.8 -0.42 -6.16 95.8384 28.8031 Z 1 91.2 7.2 -6.58 -37.84 99.2192 9.75379
75 b 0 4.18 -72.2 -1.17 -0.46 72.3318 72.2095 b 0 4.18 -3.8 -37.83 -22.54 44.3968 38.0204
76 W+ 1 80.4 8.7 8.36 23.14 84.5293 12.0656 W- 1 80.4 20.3 10.64 65.86 106.428 22.9194
77 b 0 4.18 44.52 2.95 7.7 45.4697 44.6176 b 0 4.18 8.48 56.05 62.3 84.3343 56.6879
78 W+ 1 80.4 -1.17 -18.72 -15.08 83.9248 18.7565 W- 1 80.4 -11.83 -29.28 -13.92 87.494 31.5795
79 Z 1 91.2 -5.74 -0.64 32.25 96.9064 5.77557 Z 1 91.2 -8.26 -3.36 42.75 101.116 8.91724
80 b 0 4.18 -55.8 2.56 2.04 56.052 55.8587 b 0 4.18 -4.2 61.44 65.96 90.3366 61.5834
81 b 0 4.18 -31.16 6.57 7.65 33.0167 31.8451 b 0 4.18 -6.84 66.43 77.35 102.275 66.7812
82 b 0 4.18 67.76 1.72 2.6 67.9603 67.7818 b 0 4.18 9.24 84.28 23.4 88.0541 84.785
83 b 0 4.18 -4.32 14.06 9.66 18.0868 14.7087 b 0 4.18 -31.68 59.94 4.34 68.0642 67.7969
84 b 0 4.18 64.86 4.9 0.7 65.1828 65.0448 b 0 4.18 4.14 93.1 69.3 116.21 93.192
85 W+ 1 80.4 -53.76 -6.6 -0 96.9426 54.1636 W- 1 80.4 -42.24 -8.4 -74 117.452 43.0671
86 b 0 4.18 -16.47 21 -24.08 36.1881 26.6882 b 0 4.18 -44.53 49 -31.92 73.6225 66.2112
87 W+ 1 80.4 24.08 -9 -8.64 84.8508 25.7069 W- 1 80.4 18.92 -36 -27.36 94.1631 40.669
88 b 0 4.18 -1.98 60.35 1 60.5352 60.3825 b 0 4.18 -16.02 10.65 24 31.0409 19.237
89 W+ 1 80.4 -22.62 11.47 29.58 89.3441 25.3619 W- 1 80.4 -55.38 19.53 57.42 114.933 58.7228
90 tau+ 0 1.77 -4.6 13.44 12.58 19.0574 14.2054 tau- 0 1.77 -41.4 70.56 4.42 81.9472 81.8088
91 Z 1 91.2 3.08 0 2.82 91.2956 3.08 Z 1 91.2 0.92 0 44.18 101.342 0.92
92 tau+ 0 1.77 72.54 0.71 1.68 72.5845 72.5435 tau- 0 1.77 5.46 70.29 26.32 75.2753 70.5017
93 b 0 4.18 10.8 -14.25 11.02 21.4153 17.8802 b 0 4.18 34.2 -10.75 46.98 59.2435 35.8497
94 b 0 4.18 -37.31 -1.08 0 37.559 37.3256 b 0 4.18 -3.69 -52.92 0 53.2129 53.0485
95 b 0 4.18 -21.7 49.47 -6.3 54.5466 54.0201 b 0 4.18 -48.3 47.53 -28.7 73.7099 67.7642
96 b 0 4.18 -8.97 -2.38 -11.44 15.3125 9.28037 b 0 4.18 -14.03 -11.62 -14.56 23.6924 18.2172
